Frame_ID,Distance_Meters,Host_Speed_KMH,System_Message
1,45.0,92,SYSTEM OK: KEEP DISTANCE
2,43.3,92,SYSTEM OK: KEEP DISTANCE
3,41.7,92,WARNING: CLOSING DISTANCE
4,40.2,93,WARNING: CLOSING DISTANCE
5,38.9,93,WARNING: CLOSING DISTANCE
6,37.7,94,WARNING: CLOSING DISTANCE
7,36.6,94,WARNING: CLOSING DISTANCE
8,35.6,95,WARNING: CLOSING DISTANCE
9,34.7,95,FCW CRITICAL: BRAKE NOW!
10,33.8,95,FCW CRITICAL: BRAKE NOW!
11,33.1,96,FCW CRITICAL: BRAKE NOW!
12,32.5,96,FCW CRITICAL: BRAKE NOW!
13,31.9,96,FCW CRITICAL: BRAKE NOW!
14,31.4,97,FCW CRITICAL: BRAKE NOW!
15,31.0,97,FCW CRITICAL: BRAKE NOW!
16,30.7,97,FCW CRITICAL: BRAKE NOW!
17,30.4,97,FCW CRITICAL: BRAKE NOW!
18,30.2,97,FCW CRITICAL: BRAKE NOW!
19,30.1,97,FCW CRITICAL: BRAKE NOW!
20,30.0,97,FCW CRITICAL: BRAKE NOW!
21,30.0,97,FCW CRITICAL: BRAKE NOW!
22,30.1,97,FCW CRITICAL: BRAKE NOW!
23,30.2,97,FCW CRITICAL: BRAKE NOW!
24,30.4,97,FCW CRITICAL: BRAKE NOW!
25,30.6,97,FCW CRITICAL: BRAKE NOW!
26,30.9,97,FCW CRITICAL: BRAKE NOW!
27,31.3,97,FCW CRITICAL: BRAKE NOW!
28,31.8,96,FCW CRITICAL: BRAKE NOW!
29,32.3,96,FCW CRITICAL: BRAKE NOW!
30,32.9,96,FCW CRITICAL: BRAKE NOW!
31,33.6,96,FCW CRITICAL: BRAKE NOW!
32,34.4,95,FCW CRITICAL: BRAKE NOW!
33,35.3,95,WARNING: CLOSING DISTANCE
34,36.3,94,WARNING: CLOSING DISTANCE
35,37.4,94,WARNING: CLOSING DISTANCE
36,38.5,94,WARNING: CLOSING DISTANCE
37,39.8,93,WARNING: CLOSING DISTANCE
38,41.3,93,WARNING: CLOSING DISTANCE
39,42.8,92,SYSTEM OK: KEEP DISTANCE
40,44.5,92,SYSTEM OK: KEEP DISTANCE
41,46.4,91,SYSTEM OK: KEEP DISTANCE
42,48.3,91,SYSTEM OK: KEEP DISTANCE
43,50.5,90,SYSTEM OK: KEEP DISTANCE
44,52.8,90,SYSTEM OK: KEEP DISTANCE
45,55.2,89,SYSTEM OK: KEEP DISTANCE
46,57.8,89,SYSTEM OK: KEEP DISTANCE
47,60.5,88,SYSTEM OK: KEEP DISTANCE
48,63.4,88,SYSTEM OK: KEEP DISTANCE
49,66.3,88,SYSTEM OK: KEEP DISTANCE
50,69.3,87,SYSTEM OK: KEEP DISTANCE
51,72.4,87,SYSTEM OK: KEEP DISTANCE
52,75.4,87,SYSTEM OK: KEEP DISTANCE
53,78.3,86,SYSTEM OK: KEEP DISTANCE
54,81.1,86,SYSTEM OK: KEEP DISTANCE
55,83.6,86,SYSTEM OK: KEEP DISTANCE
56,85.8,86,SYSTEM OK: KEEP DISTANCE
57,87.6,86,SYSTEM OK: KEEP DISTANCE
58,89.0,86,SYSTEM OK: KEEP DISTANCE
59,89.8,86,SYSTEM OK: KEEP DISTANCE
60,90.0,86,SYSTEM OK: KEEP DISTANCE
61,89.7,86,SYSTEM OK: KEEP DISTANCE
62,88.8,86,SYSTEM OK: KEEP DISTANCE
63,87.3,86,SYSTEM OK: KEEP DISTANCE
64,85.5,86,SYSTEM OK: KEEP DISTANCE
65,83.2,86,SYSTEM OK: KEEP DISTANCE
66,80.6,86,SYSTEM OK: KEEP DISTANCE
67,77.8,86,SYSTEM OK: KEEP DISTANCE
68,74.8,87,SYSTEM OK: KEEP DISTANCE
69,71.8,87,SYSTEM OK: KEEP DISTANCE
70,68.8,87,SYSTEM OK: KEEP DISTANCE
71,65.8,88,SYSTEM OK: KEEP DISTANCE
72,62.8,88,SYSTEM OK: KEEP DISTANCE
73,60.0,89,SYSTEM OK: KEEP DISTANCE
74,57.3,89,SYSTEM OK: KEEP DISTANCE
75,54.7,89,SYSTEM OK: KEEP DISTANCE
76,52.3,90,SYSTEM OK: KEEP DISTANCE
77,50.0,90,SYSTEM OK: KEEP DISTANCE
78,47.9,91,SYSTEM OK: KEEP DISTANCE
79,46.0,91,SYSTEM OK: KEEP DISTANCE
80,44.2,92,SYSTEM OK: KEEP DISTANCE
81,42.5,92,SYSTEM OK: KEEP DISTANCE
82,41.0,93,WARNING: CLOSING DISTANCE
83,39.6,93,WARNING: CLOSING DISTANCE
84,38.3,94,WARNING: CLOSING DISTANCE
85,37.1,94,WARNING: CLOSING DISTANCE
86,36.1,94,WARNING: CLOSING DISTANCE
87,35.1,95,WARNING: CLOSING DISTANCE
88,34.3,95,FCW CRITICAL: BRAKE NOW!
89,33.5,96,FCW CRITICAL: BRAKE NOW!
90,32.8,96,FCW CRITICAL: BRAKE NOW!
91,32.2,96,FCW CRITICAL: BRAKE NOW!
92,31.7,97,FCW CRITICAL: BRAKE NOW!
93,31.2,97,FCW CRITICAL: BRAKE NOW!
94,30.9,97,FCW CRITICAL: BRAKE NOW!
95,30.6,97,FCW CRITICAL: BRAKE NOW!
96,30.3,97,FCW CRITICAL: BRAKE NOW!
97,30.2,97,FCW CRITICAL: BRAKE NOW!
98,30.0,97,FCW CRITICAL: BRAKE NOW!
99,30.0,97,FCW CRITICAL: BRAKE NOW!
100,30.0,97,FCW CRITICAL: BRAKE NOW!
101,30.1,97,FCW CRITICAL: BRAKE NOW!
102,30.3,97,FCW CRITICAL: BRAKE NOW!
103,30.5,97,FCW CRITICAL: BRAKE NOW!
104,30.8,97,FCW CRITICAL: BRAKE NOW!
105,31.1,97,FCW CRITICAL: BRAKE NOW!
106,31.5,97,FCW CRITICAL: BRAKE NOW!
107,32.0,96,FCW CRITICAL: BRAKE NOW!
108,32.6,96,FCW CRITICAL: BRAKE NOW!
109,33.3,96,FCW CRITICAL: BRAKE NOW!
110,34.0,95,FCW CRITICAL: BRAKE NOW!
111,34.8,95,FCW CRITICAL: BRAKE NOW!
112,35.7,95,WARNING: CLOSING DISTANCE
113,36.8,94,WARNING: CLOSING DISTANCE
114,37.9,94,WARNING: CLOSING DISTANCE
115,39.1,93,WARNING: CLOSING DISTANCE
116,40.5,93,WARNING: CLOSING DISTANCE
117,42.0,92,SYSTEM OK: KEEP DISTANCE
118,43.6,92,SYSTEM OK: KEEP DISTANCE
119,45.3,91,SYSTEM OK: KEEP DISTANCE
120,47.2,91,SYSTEM OK: KEEP DISTANCE
121,49.3,90,SYSTEM OK: KEEP DISTANCE
122,51.5,90,SYSTEM OK: KEEP DISTANCE
123,53.9,90,SYSTEM OK: KEEP DISTANCE
124,56.4,89,SYSTEM OK: KEEP DISTANCE
125,59.0,89,SYSTEM OK: KEEP DISTANCE
126,61.8,88,SYSTEM OK: KEEP DISTANCE
127,64.7,88,SYSTEM OK: KEEP DISTANCE
128,67.7,87,SYSTEM OK: KEEP DISTANCE
129,70.7,87,SYSTEM OK: KEEP DISTANCE
130,73.8,87,SYSTEM OK: KEEP DISTANCE
131,76.8,87,SYSTEM OK: KEEP DISTANCE
132,79.6,86,SYSTEM OK: KEEP DISTANCE
133,82.3,86,SYSTEM OK: KEEP DISTANCE
134,84.7,86,SYSTEM OK: KEEP DISTANCE
135,86.7,86,SYSTEM OK: KEEP DISTANCE
136,88.3,86,SYSTEM OK: KEEP DISTANCE
137,89.4,86,SYSTEM OK: KEEP DISTANCE
138,89.9,86,SYSTEM OK: KEEP DISTANCE
139,89.9,86,SYSTEM OK: KEEP DISTANCE
140,89.3,86,SYSTEM OK: KEEP DISTANCE
141,88.2,86,SYSTEM OK: KEEP DISTANCE
142,86.5,86,SYSTEM OK: KEEP DISTANCE
143,84.5,86,SYSTEM OK: KEEP DISTANCE
144,82.0,86,SYSTEM OK: KEEP DISTANCE
145,79.3,86,SYSTEM OK: KEEP DISTANCE
146,76.5,87,SYSTEM OK: KEEP DISTANCE
147,73.5,87,SYSTEM OK: KEEP DISTANCE
148,70.4,87,SYSTEM OK: KEEP DISTANCE
149,67.4,88,SYSTEM OK: KEEP DISTANCE
150,64.4,88,SYSTEM OK: KEEP DISTANCE
